Total Nacional,Comunidades y Ciudades Autnomas,Provincias,Rgimen y estado,Periodo,Total
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2009M05,2.238
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2009M04,1.817
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2009M03,2.175
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2009M02,2.024
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2009M01,2.522
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2008M12,2.042
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2008M11,2.424
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2008M10,2.529
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2008M09,2.922
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2008M08,2.481
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2008M07,3.198
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2008M06,2.972
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2008M05,3.386
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2008M04,3.637
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2008M03,3.213
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2008M02,4.168
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2008M01,4.908
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2007M12,3.347
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2007M11,3.819
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2007M10,4.030
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2007M09,4.872
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2007M08,4.848
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2007M07,5.702
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2007M06,5.873
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2007M05,7.056
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2007M04,5.299
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2007M03,6.654
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2007M02,7.202
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2007M01,8.728
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2023M04,788
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2023M03,1.084
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2023M02,864
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2023M01,954
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2022M12,678
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2022M11,867
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2022M10,826
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2022M09,913
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2022M08,902
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2022M07,1.001
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2022M06,913
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2022M05,1.107
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2022M04,938
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2022M03,1.045
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2022M02,947
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2022M01,1.018
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2021M12,878
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2021M11,885
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2021M10,803
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2021M09,999
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2021M08,736
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2021M07,799
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2021M06,735
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2021M05,914
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2021M04,795
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2021M03,1.039
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2021M02,832
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2021M01,688
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2020M12,682
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2020M11,724
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2020M10,606
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2020M09,730
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2020M08,549
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2020M07,661
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2020M06,625
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2020M05,486
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2020M04,562
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2020M03,766
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2020M02,893
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2020M01,826
