Comunidades y Ciudades Autnomas,Provincias,Periodo,Total
09 Catalua,Barcelona,2015,435
09 Catalua,Barcelona,2015,637
09 Catalua,Barcelona,2015,544
09 Catalua,Barcelona,2015,636
09 Catalua,Barcelona,2014,383
09 Catalua,Barcelona,2014,479
09 Catalua,Barcelona,2014,461
09 Catalua,Barcelona,2014,457
09 Catalua,Barcelona,2014,391
09 Catalua,Barcelona,2014,554
09 Catalua,Barcelona,2014,529
09 Catalua,Barcelona,2014,607
09 Catalua,Barcelona,2014,687
09 Catalua,Barcelona,2014,760
09 Catalua,Barcelona,2014,669
09 Catalua,Barcelona,2014,801
09 Catalua,Barcelona,2013,562
09 Catalua,Barcelona,2013,657
09 Catalua,Barcelona,2013,554
09 Catalua,Barcelona,2013,647
09 Catalua,Barcelona,2013,589
09 Catalua,Barcelona,2013,759
09 Catalua,Barcelona,2013,577
09 Catalua,Barcelona,2013,636
09 Catalua,Barcelona,2013,530
09 Catalua,Barcelona,2013,477
09 Catalua,Barcelona,2013,858
09 Catalua,Barcelona,2013,1097
09 Catalua,Barcelona,2012,520
09 Catalua,Barcelona,2012,517
09 Catalua,Barcelona,2012,571
09 Catalua,Barcelona,2012,737
09 Catalua,Barcelona,2012,684
09 Catalua,Barcelona,2012,742
09 Catalua,Barcelona,2012,702
09 Catalua,Barcelona,2012,839
09 Catalua,Barcelona,2012,613
09 Catalua,Barcelona,2012,677
09 Catalua,Barcelona,2012,1017
09 Catalua,Barcelona,2012,1136
09 Catalua,Barcelona,2011,610
09 Catalua,Barcelona,2011,732
09 Catalua,Barcelona,2011,816
09 Catalua,Barcelona,2011,831
09 Catalua,Barcelona,2011,788
09 Catalua,Barcelona,2011,873
09 Catalua,Barcelona,2011,811
09 Catalua,Barcelona,2011,985
09 Catalua,Barcelona,2011,752
09 Catalua,Barcelona,2011,1032
09 Catalua,Barcelona,2011,1769
09 Catalua,Barcelona,2011,1588
09 Catalua,Barcelona,2010,1012
09 Catalua,Barcelona,2010,1070
09 Catalua,Barcelona,2010,1003
09 Catalua,Barcelona,2010,1269
09 Catalua,Barcelona,2010,1422
09 Catalua,Barcelona,2010,1427
09 Catalua,Barcelona,2010,1159
09 Catalua,Barcelona,2010,1267
09 Catalua,Barcelona,2010,1006
09 Catalua,Barcelona,2010,1014
09 Catalua,Barcelona,2010,1273
09 Catalua,Barcelona,2010,1256
09 Catalua,Barcelona,2009,1089
09 Catalua,Barcelona,2009,838
09 Catalua,Barcelona,2009,871
09 Catalua,Barcelona,2009,1243
09 Catalua,Barcelona,2009,1082
09 Catalua,Barcelona,2009,1078
09 Catalua,Barcelona,2009,919
09 Catalua,Barcelona,2009,866
09 Catalua,Barcelona,2009,697
09 Catalua,Barcelona,2009,999
09 Catalua,Barcelona,2009,834
09 Catalua,Barcelona,2009,1118
09 Catalua,Barcelona,2008,947
09 Catalua,Barcelona,2008,1153
09 Catalua,Barcelona,2008,1138
09 Catalua,Barcelona,2008,1385
09 Catalua,Barcelona,2008,1106
09 Catalua,Barcelona,2008,1309
09 Catalua,Barcelona,2008,1271
09 Catalua,Barcelona,2008,1475
09 Catalua,Barcelona,2008,1425
09 Catalua,Barcelona,2008,1390
09 Catalua,Barcelona,2008,1903
09 Catalua,Barcelona,2008,2179
09 Catalua,Barcelona,2007,1420
09 Catalua,Barcelona,2007,1501
09 Catalua,Barcelona,2007,1653
09 Catalua,Barcelona,2007,2054
09 Catalua,Barcelona,2007,1813
09 Catalua,Barcelona,2007,2055
09 Catalua,Barcelona,2007,2227
09 Catalua,Barcelona,2007,2829
09 Catalua,Barcelona,2007,2134
09 Catalua,Barcelona,2007,2578
09 Catalua,Barcelona,2007,2790
09 Catalua,Barcelona,2007,3236
09 Catalua,Barcelona,2023,3703
09 Catalua,Barcelona,2023,4599
09 Catalua,Barcelona,2023,4166
09 Catalua,Barcelona,2023,4611
09 Catalua,Barcelona,2022,3637
09 Catalua,Barcelona,2022,4771
09 Catalua,Barcelona,2022,4440
09 Catalua,Barcelona,2022,5000
09 Catalua,Barcelona,2022,4705
09 Catalua,Barcelona,2022,4795
09 Catalua,Barcelona,2022,4620
09 Catalua,Barcelona,2022,5263
09 Catalua,Barcelona,2022,4375
09 Catalua,Barcelona,2022,5178
09 Catalua,Barcelona,2022,4216
09 Catalua,Barcelona,2022,4142
09 Catalua,Barcelona,2021,3953
09 Catalua,Barcelona,2021,3789
09 Catalua,Barcelona,2021,3721
09 Catalua,Barcelona,2021,4467
09 Catalua,Barcelona,2021,4145
09 Catalua,Barcelona,2021,4433
09 Catalua,Barcelona,2021,4092
09 Catalua,Barcelona,2021,4183
09 Catalua,Barcelona,2021,3851
09 Catalua,Barcelona,2021,4560
09 Catalua,Barcelona,2021,3239
09 Catalua,Barcelona,2021,3458
09 Catalua,Barcelona,2020,3027
09 Catalua,Barcelona,2020,3401
09 Catalua,Barcelona,2020,2895
09 Catalua,Barcelona,2020,2747
09 Catalua,Barcelona,2020,2322
09 Catalua,Barcelona,2020,2821
09 Catalua,Barcelona,2020,2625
09 Catalua,Barcelona,2020,2507
09 Catalua,Barcelona,2020,2513
09 Catalua,Barcelona,2020,3352
09 Catalua,Barcelona,2020,3820
09 Catalua,Barcelona,2020,3938
09 Catalua,Barcelona,2019,2968
09 Catalua,Barcelona,2019,3446
09 Catalua,Barcelona,2019,4092
09 Catalua,Barcelona,2019,3696
09 Catalua,Barcelona,2019,3444
09 Catalua,Barcelona,2019,4673
09 Catalua,Barcelona,2019,3720
09 Catalua,Barcelona,2019,4399
09 Catalua,Barcelona,2019,3778
09 Catalua,Barcelona,2019,3969
09 Catalua,Barcelona,2019,4197
09 Catalua,Barcelona,2019,4460
09 Catalua,Barcelona,2018,2931
09 Catalua,Barcelona,2018,3960
09 Catalua,Barcelona,2018,4261
09 Catalua,Barcelona,2018,3845
09 Catalua,Barcelona,2018,4123
09 Catalua,Barcelona,2018,4432
09 Catalua,Barcelona,2018,4116
09 Catalua,Barcelona,2018,4161
09 Catalua,Barcelona,2018,3976
09 Catalua,Barcelona,2018,3970
09 Catalua,Barcelona,2018,3862
09 Catalua,Barcelona,2018,4284
