DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL
07/04/2022,4,Alt Urgell,250772,Coll de Nargó,0.65,0.7,0,1.35
07/04/2022,11,Baix Llobregat,81477,Olesa de Montserrat,0,0.04,0,0.04
07/04/2022,17,Garraf,82310,Sant Pere de Ribes,0.86,0,0,0.86
08/04/2022,17,Garraf,82310,Sant Pere de Ribes,15.29,4.6,0,19.89
08/04/2022,11,Baix Llobregat,80765,Esparreguera,0.2,3.5,0,3.7
09/04/2022,18,Garrigues,250292,Arbeca,0,0.15,0,0.15
09/04/2022,28,Pla de l'Estany,170157,Banyoles,0,0,0,0
09/04/2022,8,Baix Camp,430154,Arbolí,0,0,0,0
10/04/2022,33,Segrià,252326,Torres de Segre,0.05,0.05,0,0.1
10/04/2022,40,Vallès Occidental,81252,Montcada i Reixac,0,0.02,0,0.02
12/04/2022,25,Pallars Jussà,252347,Tremp,0,0.28,0,0.28
14/04/2022,25,Pallars Jussà,250019,Abella de la Conca,0.1,0,0,0.1
15/04/2022,24,Osona,81509,Orís,1,1,0,2
15/04/2022,41,Vallès Oriental,81154,Martorelles,0,0.12,0,0.12
16/04/2022,33,Segrià,251207,Lleida,0.15,0,0,0.15
16/04/2022,15,Cerdanya,170242,Bolvir,0.26,0.3,0.28,0.56
17/04/2022,9,Baix Ebre,431554,Tortosa,0,0,0,0
18/04/2022,7,Bages,80902,Gaià,0.01,0,0,0.01
27/04/2022,15,Cerdanya,170242,Bolvir,0,0.02,0,0.02
29/04/2022,33,Segrià,251207,Lleida,0,0.06,0,0.06
30/04/2022,7,Bages,82188,Sant Joan de Vilatorrada,0.01,0,0,0.01
30/04/2022,16,Conca de Barberà,430290,Blancafort,0.05,0,0,0.05
01/05/2022,6,Anoia,81022,Igualada,0.02,0,0,0.02
04/05/2022,13,Barcelonès,80193,Barcelona,0,0,0,0
05/05/2022,20,Gironès,170792,Girona,0,0.11,0,0.11
06/05/2022,30,Ribera d'Ebre,430607,Flix,0,0,0,0
06/05/2022,20,Gironès,170499,Celrà,0.98,0,0,0.98
07/05/2022,33,Segrià,252043,Seròs,10,36.5,0,46.5
07/05/2022,8,Baix Camp,430332,Botarell,0,0.27,1.49,0.27
07/05/2022,9,Baix Ebre,430136,"Ametlla de Mar, l'",0,0.01,0,0.01
07/05/2022,34,Selva,172023,Tossa de Mar,0,0,0,0
08/05/2022,7,Bages,81136,Manresa,0.02,0,0,0.02
09/05/2022,11,Baix Llobregat,81960,Sant Andreu de la Barca,0,0,0,0
09/05/2022,26,Pallars Sobirà,259031,"Guingueta d'Àneu, la",0,0.02,0,0.02
09/05/2022,33,Segrià,250788,Corbins,0,0.43,0,0.43
09/05/2022,33,Segrià,250788,Corbins,0,4.7,0,4.7
09/05/2022,9,Baix Ebre,431554,Tortosa,0,0.01,0,0.01
10/05/2022,4,Alt Urgell,250886,Estamariu,0,0.02,0,0.02
10/05/2022,23,Noguera,252311,Torrelameu,12.4,2.7,1.2,15.1
10/05/2022,33,Segrià,252108,Soses,0,1.1,0,1.1
10/05/2022,37,Terra Alta,430640,Gandesa,0,0.08,0,0.08
11/05/2022,20,Gironès,170792,Girona,0.18,0,0,0.18
11/05/2022,7,Bages,80615,Castellgalí,0.09,0,0,0.09
11/05/2022,11,Baix Llobregat,80765,Esparreguera,0,0,0,0
11/05/2022,7,Bages,81136,Manresa,0.23,0,0,0.23
12/05/2022,20,Gironès,170209,Bescanó,0.06,0,0,0.06
12/05/2022,40,Vallès Occidental,82606,Santa Perpètua de Mogoda,0,0.04,0,0.04
13/05/2022,7,Bages,80615,Castellgalí,0,0,0,0
13/05/2022,23,Noguera,250404,Balaguer,0,0.23,0,0.23
13/05/2022,25,Pallars Jussà,250984,Gavet de la Conca,0,0.25,0,0.25
13/05/2022,9,Baix Ebre,431554,Tortosa,0.05,0,0,0.05
13/05/2022,7,Bages,81825,"Pont de Vilomara i Rocafort, el",2.12,0,0,2.12
13/05/2022,18,Garrigues,251180,Juncosa,0.02,0,0,0.02
13/05/2022,41,Vallès Oriental,81810,"Roca del Vallès, la",0.09,0,0,0.09
13/05/2022,33,Segrià,251207,Lleida,0,0.27,0,0.27
13/05/2022,41,Vallès Oriental,80235,Bigues i Riells,0.22,0,0,0.22
14/05/2022,14,Berguedà,81770,"Quar, la",0,0,0,0
14/05/2022,41,Vallès Oriental,82021,Sant Celoni,0.02,0,0,0.02
14/05/2022,18,Garrigues,250560,Bovera,0,0.01,0,0.01
14/05/2022,11,Baix Llobregat,81960,Sant Andreu de la Barca,0,0,0,0
15/05/2022,40,Vallès Occidental,82055,Sant Cugat del Vallès,0,0.01,0,0.01
15/05/2022,20,Gironès,170675,Flaçà,0,0,0,0
15/05/2022,41,Vallès Oriental,80057,"Ametlla del Vallès, l'",0.25,0,0,0.25
15/05/2022,7,Bages,81402,Navarcles,0,0.01,0,0.01
15/05/2022,37,Terra Alta,430640,Gandesa,0,0.02,0,0.02
16/05/2022,28,Pla de l'Estany,170157,Banyoles,0.02,0,0,0.02
16/05/2022,34,Selva,170280,Brunyola i Sant Martí Sapresa,0.12,0,0,0.12
16/05/2022,3,Alt Penedès,81228,Mediona,0.03,0,0,0.03
16/05/2022,20,Gironès,170792,Girona,0,0.02,0,0.02
16/05/2022,40,Vallès Occidental,83008,Viladecavalls,0.3,0.52,0.05,0.82
16/05/2022,41,Vallès Oriental,81810,"Roca del Vallès, la",1.35,0,0,1.35
16/05/2022,41,Vallès Oriental,82763,Tagamanent,0.22,0,0,0.22
16/05/2022,18,Garrigues,250096,"Albi, l'",0.87,0.63,0,1.5
16/05/2022,6,Anoia,81653,"Pobla de Claramunt, la",0.83,0,0,0.83
17/05/2022,4,Alt Urgell,251497,Oliana,0,0.08,0,0.08
17/05/2022,4,Alt Urgell,252398,"Valls de Valira, les",0,0.02,0,0.02
17/05/2022,34,Selva,170280,Brunyola i Sant Martí Sapresa,0.06,0,0,0.06
17/05/2022,41,Vallès Oriental,81982,Sant Antoni de Vilamajor,0,0.04,0.02,0.04
17/05/2022,30,Ribera d'Ebre,430607,Flix,0,0.16,0.31,0.16
17/05/2022,12,Baix Penedès,430379,Calafell,0,0.01,0,0.01
17/05/2022,41,Vallès Oriental,81075,Lliçà d'Amunt,0,0.01,0.01,0.01
17/05/2022,7,Bages,81136,Manresa,0.01,0,0,0.01
17/05/2022,28,Pla de l'Estany,170157,Banyoles,0,0,0,0
18/05/2022,18,Garrigues,250061,"Albagés, l'",0,0.02,0.23,0.02
19/05/2022,25,Pallars Jussà,251155,Isona i Conca Dellà,0,0.13,0,0.13
19/05/2022,28,Pla de l'Estany,170157,Banyoles,0,0.02,0,0.02
19/05/2022,11,Baix Llobregat,80728,Corbera de Llobregat,0,0,0,0
19/05/2022,24,Osona,81120,Manlleu,0,0,0,0
19/05/2022,41,Vallès Oriental,82943,Vallgorguina,0.02,0,0,0.02
20/05/2022,11,Baix Llobregat,80689,Cervelló,0.66,0,0,0.66
20/05/2022,20,Gironès,170871,Juià,0.02,0,0,0.02
