,Àmbit territorial,Codi territorial,Nom territori,Any,Període,Habitatges,Renda
204,Municipi,8266,Cerdanyola del Vallès,2022,gener - desembre,901,790.56
205,Municipi,8068,Cervelló,2022,gener - desembre,119,777.8
206,Municipi,25072,Cervera,2022,gener - desembre,179,366.96
208,Municipi,17050,Cervià de Ter,2022,gener - desembre,12,542.5
212,Municipi,8069,Collbató,2022,gener - desembre,32,910.34
218,Municipi,43047,Constantí,2022,gener - desembre,80,416.87
220,Municipi,8072,Corbera de Llobregat,2022,gener - desembre,206,741.26
223,Municipi,17057,Corçà,2022,gener - desembre,14,565.3
224,Municipi,8073,Cornellà de Llobregat,2022,gener - desembre,1631,723.23
225,Municipi,17056,Cornellà del Terri,2022,gener - desembre,31,712.02
226,Municipi,43049,Cornudella de Montsant,2022,gener - desembre,21,354.11
227,Municipi,43050,Creixell,2022,gener - desembre,85,569.54
228,Municipi,17901,"Cruïlles, Monells i Sant Sadurní de l'Heura",2022,gener - desembre,11,1193.64
229,Municipi,8074,Cubelles,2022,gener - desembre,309,764.14
230,Municipi,25079,Cubells,2022,gener - desembre,7,657.57
231,Municipi,43051,Cunit,2022,gener - desembre,248,657.55
232,Municipi,17060,Darnius,2022,gener - desembre,13,481.92
234,Municipi,43901,Deltebre,2022,gener - desembre,161,408.04
235,Municipi,8075,Dosrius,2022,gener - desembre,73,858.3
237,Municipi,17062,"Escala, l'",2022,gener - desembre,161,641.24
238,Municipi,8076,Esparreguera,2022,gener - desembre,302,651.07
239,Municipi,17063,Espinelves,2022,gener - desembre,6,570.83
241,Municipi,43054,"Espluga de Francolí, l'",2022,gener - desembre,47,423.24
242,Municipi,8077,Esplugues de Llobregat,2022,gener - desembre,731,900.9
247,Municipi,8254,"Esquirol, l'",2022,gener - desembre,29,451.23
248,Municipi,8079,"Estany, l'",2022,gener - desembre,12,530.42
250,Municipi,25086,Esterri d'Àneu,2022,gener - desembre,26,418.58
251,Municipi,43055,Falset,2022,gener - desembre,57,432.8
254,Municipi,8134,Figaró-Montmany,2022,gener - desembre,27,600.06
256,Municipi,17066,Figueres,2022,gener - desembre,1345,510.17
258,Municipi,17067,Flaçà,2022,gener - desembre,19,583.42
259,Municipi,43060,Flix,2022,gener - desembre,12,326.25
261,Municipi,8082,Fogars de la Selva,2022,gener - desembre,9,764.44
264,Municipi,8083,Folgueroles,2022,gener - desembre,29,633.62
266,Municipi,17069,Fontanals de Cerdanya,2022,gener - desembre,10,794.0
269,Municipi,8085,Font-rubí,2022,gener - desembre,10,611.0
270,Municipi,17902,Forallac,2022,gener - desembre,38,492.46
272,Municipi,17073,Fornells de la Selva,2022,gener - desembre,20,978.15
274,Municipi,8086,"Franqueses del Vallès, les",2022,gener - desembre,389,680.74
276,Municipi,25096,"Fuliola, la",2022,gener - desembre,11,365.0
281,Municipi,43064,Gandesa,2022,gener - desembre,37,316.77
284,Municipi,8088,"Garriga, la",2022,gener - desembre,383,758.67
287,Municipi,17077,Garriguella,2022,gener - desembre,15,579.0
288,Municipi,8089,Gavà,2022,gener - desembre,673,929.44
290,Municipi,8091,Gelida,2022,gener - desembre,172,617.89
293,Municipi,17079,Girona,2022,gener - desembre,3200,698.05
294,Municipi,8092,Gironella,2022,gener - desembre,112,421.58
296,Municipi,25099,Golmés,2022,gener - desembre,10,387.5
299,Municipi,8094,"Granada, la",2022,gener - desembre,17,596.0
300,Municipi,25101,"Granadella, la",2022,gener - desembre,9,290.56
303,Municipi,8096,Granollers,2022,gener - desembre,1327,712.18
307,Municipi,8097,Gualba,2022,gener - desembre,22,583.41
309,Municipi,8099,Guardiola de Berguedà,2022,gener - desembre,15,412.7
311,Municipi,17082,Guils de Cerdanya,2022,gener - desembre,7,928.57
314,Municipi,25110,Guissona,2022,gener - desembre,156,409.21
315,Municipi,8100,Gurb,2022,gener - desembre,8,772.5
316,Municipi,43071,Horta de Sant Joan,2022,gener - desembre,12,350.09
317,Municipi,8101,"Hospitalet de Llobregat, l'",2022,gener - desembre,5451,731.31
318,Municipi,8162,"Hostalets de Pierola, els",2022,gener - desembre,49,586.94
319,Municipi,17083,Hostalric,2022,gener - desembre,107,518.76
320,Municipi,8102,Igualada,2022,gener - desembre,826,525.64
321,Municipi,25115,Isona i Conca Dellà,2022,gener - desembre,7,312.86
323,Municipi,25113,Ivars d'Urgell,2022,gener - desembre,7,345.71
325,Municipi,17086,"Jonquera, la",2022,gener - desembre,83,467.41
326,Municipi,8103,Jorba,2022,gener - desembre,14,595.36
330,Municipi,25119,Juneda,2022,gener - desembre,25,359.15
331,Municipi,25121,Les,2022,gener - desembre,12,460.42
332,Municipi,25122,Linyola,2022,gener - desembre,38,375.12
333,Municipi,8104,"Llacuna, la",2022,gener - desembre,18,464.89
334,Municipi,17088,Lladó,2022,gener - desembre,17,589.41
335,Municipi,8105,"Llagosta, la",2022,gener - desembre,154,667.64
336,Municipi,17089,Llagostera,2022,gener - desembre,137,523.22
338,Municipi,17091,Llanars,2022,gener - desembre,7,1198.57
339,Municipi,17092,Llançà,2022,gener - desembre,94,527.36
340,Municipi,25120,Lleida,2022,gener - desembre,2600,505.67
341,Municipi,17093,Llers,2022,gener - desembre,7,632.14
343,Municipi,8107,Lliçà d'Amunt,2022,gener - desembre,85,884.76
344,Municipi,8108,Lliçà de Vall,2022,gener - desembre,42,920.04
345,Municipi,8106,Llinars del Vallès,2022,gener - desembre,194,741.57
346,Municipi,17094,Llívia,2022,gener - desembre,30,578.33
348,Municipi,43074,Llorenç del Penedès,2022,gener - desembre,23,555.22
349,Municipi,17095,Lloret de Mar,2022,gener - desembre,621,570.4
352,Municipi,17102,Maçanet de Cabrenys,2022,gener - desembre,14,468.57
353,Municipi,17103,Maçanet de la Selva,2022,gener - desembre,68,696.48
358,Municipi,8110,Malgrat de Mar,2022,gener - desembre,270,585.89
360,Municipi,8112,Manlleu,2022,gener - desembre,306,488.04
