CODI_10,NOM_ENS,ANY,TOTAL,HOMES,DONES
0818590004,Ajuntament de Rubió,2015,229,,
1706000000,Ajuntament de Darnius,2018,557,276,281
2525210007,Ajuntament de Vila-sana,2012,710,,
1702680001,Ajuntament de Borrassà,2017,715,367,348
0816140003,Ajuntament de Piera,2001,9180,,
0800230008,Ajuntament d'Aguilar de Segarra,2007,252,131,121
1709470005,Ajuntament de Llívia,2003,1160,0,0
1712360009,Ajuntament de Palol de Revardit,2009,479,,
0815090004,Ajuntament d'Orís,1993,225,,
0829940003,Ajuntament de Vilada,2003,515,0,0
1712670005,Ajuntament de Parlavà,2013,404,208,196
0804100000,Ajuntament de Canovelles,1991,13326,,
0826340003,Ajuntament de Sant Vicenç dels Horts,2008,27461,13791,13670
0802660009,Ajuntament del Brull,2012,261,,
8100380001,Consell Comarcal de l'Alt Penedès,2005,93408,,
1711560009,Ajuntament d'Ordis,1992,301,,
0825730008,Ajuntament de Santa Maria de Miralles,2009,130,,
1722530008,Ajuntament de Vilamacolum,2009,322,,
1706220002,Ajuntament de l'Escala,2018,10417,5308,5109
0800950006,Ajuntament d'Argentona,2008,11544,5741,5803
2524020002,Ajuntament de Vallfogona de Balaguer,2020,1906,,
1708650006,Ajuntament de la Jonquera,2006,3020,,
4309600000,Ajuntament de la Morera de Montsant,2009,153,,
1710610007,Ajuntament de Mollet de Peralada,2020,198,,
0826130008,Ajuntament de Santa Susanna,2011,3317,1693,1624
0814300000,Ajuntament d'Òdena,2011,3469,1773,1696
2520690004,Ajuntament del Soleràs,2015,342,,
0817480001,Ajuntament de Puigdàlber,2000,333,,
2517130008,Ajuntament de la Pobla de Segur,2004,2961,,
1701440003,Ajuntament de la Vajol,2014,86,48,38
8100170005,Consell Comarcal de l'Alt Camp,2020,44695,,
0802140003,Ajuntament de Bellprat,2006,99,,
1722880001,Ajuntament de Vilanant,2001,301,,
7000510007,Entitat Municipal Descentralitzada d'Arestui,2019,20,10,10
0810810007,Ajuntament de Lliçà de Vall,1992,3616,,
0806410007,Ajuntament de Castellterçol,2020,2548,,
0822640003,Ajuntament de Sant Martí de Tous,2019,1235,,
1704860009,Ajuntament de Castell-Platja d'Aro,2017,10593,5214,5379
2522130008,Ajuntament de Tírvia,2018,134,66,68
0809770005,Ajuntament de Gualba,2011,1312,671,641
0806670005,Ajuntament de Castellví de Rosanes,1998,996,,
0816070005,Ajuntament de Perafita,2001,362,,
2510390004,Ajuntament de Granyanella,2004,140,,
4314180001,Ajuntament de Pontils,1991,110,,
0818460009,Ajuntament de Rubí,1999,57030,,
1709850006,Ajuntament de Maià de Montcal,2013,453,230,223
0803640003,Ajuntament de Calonge de Segarra,2006,205,,
0829430008,Ajuntament de Vallgorguina,1996,1065,,
2500240003,Ajuntament d'Àger,2004,502,,
2516730008,Ajuntament de Pinós,1995,338,,
4303320002,Ajuntament de Botarell,2002,749,0,0
1719310007,Ajuntament de Sils,1998,2848,,
2514970005,Ajuntament d'Oliana,1990,2029,,
4317260009,Ajuntament de Vilaverd,2017,440,228,212
1711000000,Ajuntament de Mont-ras,2014,1739,867,872
2505230008,Ajuntament de Bellvís,2021,2258,1153,1105
1708340003,Ajuntament d'Hostalric,1993,2898,,
4302870005,Ajuntament de la Bisbal del Penedès,2008,3328,1739,1589
1714470005,Ajuntament de Regencós,2002,287,0,0
0826060009,Ajuntament de Santa Perpètua de Mogoda,2004,20844,,
1702090004,Ajuntament de Bescanó,1998,3063,,
0807060009,Ajuntament de Collsuspina,1993,221,,
0829940003,Ajuntament de Vilada,2008,534,266,268
1705770005,Ajuntament de Corçà,1992,1083,,
0817700000,Ajuntament de la Quar,2021,51,28,23
0803700000,Ajuntament de Calldetenes,2003,2098,0,0
2517490004,Ajuntament de la Portella,2001,577,,
0812520002,Ajuntament de Montcada i Reixac,1999,27348,,
2503490004,Ajuntament d'Artesa de Segre,2005,3696,1940,1756
2511420002,Ajuntament d'Ivorra,1992,144,,
1722720002,Ajuntament de Vilamaniscle,2018,208,116,92
2521080001,Ajuntament de Soses,2017,1719,889,830
0815930008,Ajuntament de Parets del Vallès,2001,14917,,
1706940003,Ajuntament de Fontanals de Cerdanya,2003,419,0,0
4306350006,Ajuntament de la Galera,1996,748,,
4317630008,Ajuntament de Vimbodí i Poblet,1996,1061,,
4307270005,Ajuntament del Lloar,2003,114,0,0
0804460009,Ajuntament de Capellades,1998,4974,,
4309950006,Ajuntament de la Palma d'Ebre,2012,396,,
0804460009,Ajuntament de Capellades,2006,5383,,
0800820002,Ajuntament d'Argençola,1993,194,,
0827260009,Ajuntament de Sora,2000,189,,
0816140003,Ajuntament de Piera,2002,10194,0,0
1711690004,Ajuntament d'Osor,2011,456,227,229
1711810007,Ajuntament de Palamós,2016,17677,,
1719100000,Ajuntament de Serra de Daró,2005,177,99,78
0811200000,Ajuntament de Manlleu,2005,19488,9887,9601
4305550006,Ajuntament de Falset,2018,2807,1405,1402
2517520002,Ajuntament de Prats i Sansor,2010,245,,
0890240003,Ajuntament de Vilanova del Vallès,2013,5152,2622,2530
