DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL
06/05/2011,41,Vallès Oriental,81075,Lliçà d'Amunt,0.04,0.00,0.00,0.04
06/05/2011,41,Vallès Oriental,82107,Sant Feliu de Codines,0.00,0.00,0.00,0.00
06/05/2011,12,Baix Penedès,431634,"Vendrell, el",0.00,0.02,0.00,0.02
07/05/2011,2,Alt Empordà,171788,Sant Pere Pescador,0.00,0.00,0.00,0.00
07/05/2011,30,Ribera d'Ebre,431508,Tivissa,0.00,0.14,0.00,0.14
08/05/2011,6,Anoia,81192,Masquefa,0.00,0.04,0.00,0.04
10/05/2011,2,Alt Empordà,170010,Agullana,0.00,0.01,0.00,0.01
11/05/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.00,9.20,0.00,9.20
11/05/2011,12,Baix Penedès,431634,"Vendrell, el",0.06,0.19,0.00,0.25
11/05/2011,23,Noguera,250404,Balaguer,0.00,0.25,0.00,0.25
12/05/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.00,9.10,0.00,9.10
12/05/2011,11,Baix Llobregat,81960,Sant Andreu de la Barca,0.00,0.00,0.00,0.00
13/05/2011,7,Bages,81825,"Pont de Vilomara i Rocafort, el",0.00,0.00,0.00,0.00
15/05/2011,2,Alt Empordà,171002,Masarac,0.00,0.02,0.00,0.02
15/05/2011,33,Segrià,251207,Lleida,0.00,0.31,0.00,0.31
15/05/2011,33,Segrià,251898,Rosselló,0.00,1.70,0.00,1.70
17/05/2011,23,Noguera,250404,Balaguer,0.40,0.00,0.00,0.40
17/05/2011,9,Baix Ebre,431554,Tortosa,0.00,0.40,0.00,0.40
18/05/2011,33,Segrià,250100,Alcanó,0.00,0.03,0.00,0.03
18/05/2011,33,Segrià,252043,Seròs,0.00,2.60,0.00,2.60
19/05/2011,40,Vallès Occidental,82798,Terrassa,0.08,0.00,0.00,0.08
20/05/2011,33,Segrià,251207,Lleida,0.00,0.08,0.00,0.08
21/05/2011,2,Alt Empordà,172109,Ventalló,0.03,0.00,0.00,0.03
21/05/2011,34,Selva,171030,Maçanet de la Selva,0.00,0.00,0.00,0.00
21/05/2011,41,Vallès Oriental,81810,"Roca del Vallès, la",0.01,0.00,0.00,0.01
21/05/2011,7,Bages,80983,Sant Salvador de Guardiola,0.00,0.00,0.00,0.00
21/05/2011,6,Anoia,82573,Santa Maria de Miralles,0.00,0.12,0.00,0.12
21/05/2011,33,Segrià,251207,Lleida,0.25,0.00,0.00,0.25
22/05/2011,6,Anoia,82573,Santa Maria de Miralles,0.00,0.00,0.00,0.00
22/05/2011,33,Segrià,251207,Lleida,0.00,0.07,0.00,0.07
23/05/2011,2,Alt Empordà,171523,Roses,0.00,2.30,0.00,2.30
23/05/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.00,30.80,0.10,30.80
23/05/2011,11,Baix Llobregat,82634,Sant Vicenç dels Horts,0.00,0.05,0.00,0.05
23/05/2011,9,Baix Ebre,430252,Benifallet,7.28,2.48,0.00,9.76
24/05/2011,16,Conca de Barberà,431763,Vimbodí i Poblet,0.00,0.07,0.00,0.07
24/05/2011,33,Segrià,251207,Lleida,0.10,0.00,0.00,0.10
24/05/2011,33,Segrià,251207,Lleida,0.30,0.00,0.00,0.30
24/05/2011,9,Baix Ebre,431554,Tortosa,0.70,0.00,0.00,0.70
25/05/2011,11,Baix Llobregat,82634,Sant Vicenç dels Horts,0.00,0.13,0.00,0.13
25/05/2011,6,Anoia,82508,Santa Margarida de Montbui,0.00,0.06,0.00,0.06
25/05/2011,33,Segrià,252326,Torres de Segre,0.00,0.25,0.00,0.25
26/05/2011,10,Baix Empordà,171609,Sant Feliu de Guíxols,0.25,0.00,0.00,0.25
26/05/2011,40,Vallès Occidental,82798,Terrassa,0.00,0.00,0.00,0.00
26/05/2011,14,Berguedà,82687,Cercs,0.01,0.00,0.00,0.01
26/05/2011,8,Baix Camp,430094,Alforja,0.00,0.91,0.00,0.91
26/05/2011,25,Pallars Jussà,252154,Talarn,0.67,0.20,0.00,0.87
26/05/2011,18,Garrigues,250735,Cervià de les Garrigues,0.00,0.19,1.30,0.19
26/05/2011,30,Ribera d'Ebre,430995,"Palma d'Ebre, la",0.00,0.03,0.60,0.03
28/05/2011,2,Alt Empordà,171208,Palau-saverdera,0.00,0.05,0.00,0.05
28/05/2011,10,Baix Empordà,170813,Gualta,0.00,0.01,0.00,0.01
