Àmbit territorial,Codi territorial,Nom territori,Any,Període,Habitatges,Renda,Tram de preus
Municipi,17044,Cassà de la Selva,2022,gener - desembre,171,586.51,> 450 i <= 600 euros/mes
Municipi,08049,Casserres,2022,gener - desembre,20,495.50,> 450 i <= 600 euros/mes
Municipi,25064,Castellar de la Ribera,2022,gener - desembre,1,,> 450 i <= 600 euros/mes
Municipi,08052,Castellar de N'Hug,2022,gener - desembre,1,,<= 350 euros/mes
Municipi,08050,Castellar del Riu,2022,gener - desembre,1,,> 600 euros/mes
Municipi,08051,Castellar del Vallès,2022,gener - desembre,234,675.05,> 600 euros/mes
Municipi,08053,Castellbell i el Vilar,2022,gener - desembre,33,495.76,> 450 i <= 600 euros/mes
Municipi,08054,Castellbisbal,2022,gener - desembre,161,764.33,> 600 euros/mes
Municipi,08055,Castellcir,2022,gener - desembre,8,697.50,> 600 euros/mes
Municipi,25067,Castelldans,2022,gener - desembre,5,,> 600 euros/mes
Municipi,08056,Castelldefels,2022,gener - desembre,1275,1039.95,> 600 euros/mes
Municipi,08058,Castellet i la Gornal,2022,gener - desembre,17,746.18,> 600 euros/mes
Municipi,17046,Castellfollit de la Roca,2022,gener - desembre,8,493.12,> 450 i <= 600 euros/mes
Municipi,08060,Castellfollit de Riubregós,2022,gener - desembre,1,,> 350 i <= 450 euros/mes
Municipi,08061,Castellgalí,2022,gener - desembre,28,523.07,> 450 i <= 600 euros/mes
Municipi,08062,Castellnou de Bages,2022,gener - desembre,1,,> 600 euros/mes
Municipi,25068,Castellnou de Seana,2022,gener - desembre,2,,> 350 i <= 450 euros/mes
Municipi,25069,Castelló de Farfanya,2022,gener - desembre,9,345.00,<= 350 euros/mes
Municipi,17047,Castelló d'Empúries,2022,gener - desembre,192,535.06,> 450 i <= 600 euros/mes
Municipi,08063,Castellolí,2022,gener - desembre,4,,> 600 euros/mes
Municipi,17048,Castell-Platja d'Aro,2022,gener - desembre,171,717.73,> 600 euros/mes
Municipi,25070,Castellserà,2022,gener - desembre,5,,> 350 i <= 450 euros/mes
Municipi,08064,Castellterçol,2022,gener - desembre,66,524.62,> 450 i <= 600 euros/mes
Municipi,43042,Castellvell del Camp,2022,gener - desembre,11,975.18,> 600 euros/mes
Municipi,08065,Castellví de la Marca,2022,gener - desembre,17,542.06,> 450 i <= 600 euros/mes
Municipi,08066,Castellví de Rosanes,2022,gener - desembre,18,744.50,> 600 euros/mes
Municipi,43043,"Catllar, el",2022,gener - desembre,31,733.23,> 600 euros/mes
Municipi,25071,Cava,2022,gener - desembre,2,,> 600 euros/mes
Municipi,17189,"Cellera de Ter, la",2022,gener - desembre,24,467.12,> 450 i <= 600 euros/mes
Municipi,17049,Celrà,2022,gener - desembre,68,609.54,> 600 euros/mes
Municipi,08067,Centelles,2022,gener - desembre,155,578.50,> 450 i <= 600 euros/mes
Municipi,08268,Cercs,2022,gener - desembre,13,321.54,<= 350 euros/mes
Municipi,08266,Cerdanyola del Vallès,2022,gener - desembre,901,790.56,> 600 euros/mes
Municipi,08068,Cervelló,2022,gener - desembre,119,777.80,> 600 euros/mes
Municipi,25072,Cervera,2022,gener - desembre,179,366.96,> 350 i <= 450 euros/mes
Municipi,25073,Cervià de les Garrigues,2022,gener - desembre,5,,> 350 i <= 450 euros/mes
Municipi,17050,Cervià de Ter,2022,gener - desembre,12,542.50,> 450 i <= 600 euros/mes
Municipi,17051,Cistella,2022,gener - desembre,5,,> 600 euros/mes
Municipi,17054,Colera,2022,gener - desembre,2,,> 600 euros/mes
Municipi,25077,Coll de Nargó,2022,gener - desembre,5,,> 350 i <= 450 euros/mes
Municipi,08069,Collbató,2022,gener - desembre,32,910.34,> 600 euros/mes
Municipi,43045,Colldejou,2022,gener - desembre,1,,<= 350 euros/mes
Municipi,08070,Collsuspina,2022,gener - desembre,5,,> 450 i <= 600 euros/mes
Municipi,25163,"Coma i la Pedra, la",2022,gener - desembre,2,,> 450 i <= 600 euros/mes
Municipi,25161,Conca de Dalt,2022,gener - desembre,1,,> 350 i <= 450 euros/mes
Municipi,43046,Conesa,2022,gener - desembre,1,,> 350 i <= 450 euros/mes
Municipi,43047,Constantí,2022,gener - desembre,80,416.87,> 350 i <= 450 euros/mes
Municipi,08071,Copons,2022,gener - desembre,3,,> 450 i <= 600 euros/mes
Municipi,08072,Corbera de Llobregat,2022,gener - desembre,206,741.26,> 600 euros/mes
Municipi,43048,Corbera d'Ebre,2022,gener - desembre,5,,<= 350 euros/mes
Municipi,25078,Corbins,2022,gener - desembre,4,,> 450 i <= 600 euros/mes
Municipi,17057,Corçà,2022,gener - desembre,14,565.30,> 450 i <= 600 euros/mes
Municipi,08073,Cornellà de Llobregat,2022,gener - desembre,1631,723.23,> 600 euros/mes
Municipi,17056,Cornellà del Terri,2022,gener - desembre,31,712.02,> 600 euros/mes
Municipi,43049,Cornudella de Montsant,2022,gener - desembre,21,354.11,> 350 i <= 450 euros/mes
Municipi,43050,Creixell,2022,gener - desembre,85,569.54,> 450 i <= 600 euros/mes
Municipi,17901,"Cruïlles, Monells i Sant Sadurní de l'Heura",2022,gener - desembre,11,1193.64,> 600 euros/mes
Municipi,08074,Cubelles,2022,gener - desembre,309,764.14,> 600 euros/mes
Municipi,25079,Cubells,2022,gener - desembre,7,657.57,> 600 euros/mes
Municipi,43051,Cunit,2022,gener - desembre,248,657.55,> 600 euros/mes
Municipi,17060,Darnius,2022,gener - desembre,13,481.92,> 450 i <= 600 euros/mes
Municipi,17061,Das,2022,gener - desembre,2,,> 600 euros/mes
Municipi,43901,Deltebre,2022,gener - desembre,161,408.04,> 350 i <= 450 euros/mes
Municipi,08075,Dosrius,2022,gener - desembre,73,858.30,> 600 euros/mes
